"BehaviorSpace results (NetLogo 6.1.0)"
"predator-prey-model-revised-17_03_2020-for_cheetah_vs_impala.nlogo"
"cheetah vs impala - open savanna"
"05/28/2020 09:09:57:529 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-200","200","-200","200"
"[run number]","prey-max-velocity","prey-agility","prey-acceleration","prey-deceleration","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-max-velocity","predator-agility","predator-acceleration","predator-deceleration","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"47","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","59","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
"48","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","58","0.010006156678130112","1","0","726.25","167.65","899.95","423.40713100312735","173.76733560433345","0.12129123089564237","0.40025866807223376","escape","pursue","1"
"59","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","5120","54","0.010006156678130112","0","1","31.25","223.4","255.95000000000002","477.3944884279029","225.63577627618983","0.1704305420885161","0.33763922656820167","escape","pursue","1"
"60","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","5956","60","0.010006156678130112","0","1","0.1","288.35","297.75","800.1300525013038","190.04783484835565","0.11410722025662574","0.35549464416800297","exhausted","pursue","1"
"50","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","58","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
"58","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","10723","57","0.010006156678130112","0","1","230","306.15000000000003","536.1","650.1961656184187","260.98692647135624","0.18284076402393862","0.3076518673506212","escape","pursue","1"
"57","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","10308","60","0.010006156678130112","0","1","493.1","22.3","515.35","62.26246738199252","30.851405560592944","0.10101864588299517","0.32518971237559685","escape","pursue","1"
"61","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","8512","55","0.010006156678130112","0","1","266.85","158.75","425.55","387.574327554008","165.73399219267571","0.12446520554969968","0.26749168304199095","escape","pursue","1"
"56","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","17547","59","0.010006156678130112","0","1","745","132.35","877.3000000000001","304.71274896381317","54.37696105646851","0.13874566101227193","0.4125282146735072","escape","pursue","1"
"55","13.8","3.429","5.7","6.3","50","240","50","30","800","3","3","19.9","3.569","8.3","10.6","50","180","300","0.66","0.01","1.5","0.99","0.99","0","0","18000","59","0.010006156678130112","1","0","0","0","899.95","0","0","0","0","forage","search","0"
